X,Y,Z,Au_ppm,As_ppm_BESTEL,Hg_ppm_BESTEL,phi_0,phi_1,phi_2,phi_3,phi_4,phi_5,phi_6,phi_7,phi_8,phi_9,phi_10,phi_11,phi_12,phi_13,phi_14,phi_15,phi_16,phi_17,phi_18,phi_19,phi_20,phi_21,phi_22,phi_23,phi_24,phi_25,phi_26,phi_27,phi_28,phi_29,phi_30,phi_31,phi_32,phi_33,phi_34,phi_35,phi_36,phi_37,phi_38,phi_39,phi_40,phi_41,phi_42,phi_43,phi_44,phi_45,phi_46,phi_47
0.5742957769134003,0.6365783027082637,0.5859568158528419,0.0003537053313039,0.0061501845055351,0.0065573770491803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1472826091162035e-05,2.4236935483476395e-11,0.0,0.0016271305664313023,6.599046228631272e-05,0.0,0.0002547134453761132,2.2218248414148063e-06,0.0,0.0,0.0,0.0,0.0,3.004293358370396e-07,0.0,0.0,0.035213340165128275,0.005243799653595545,0.0,0.28380458016288007,0.06462109822620053,3.643438999175059e-05,0.11313156050476725,0.022157454128978793,7.737447230108699e-07,0.0005226587899933331,9.212281911870917e-06,0.0,0.0,6.174368111711919e-05,6.622774301182451e-08,0.0,0.13694174603900788,0.027805580041769404,2.085453433393194e-06
0.574297069962726,0.6365749868667779,0.585785305235774,0.0003537053313039,0.0061501845055351,0.0065573770491803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1683941643077861e-05,2.8235286112869797e-11,0.0,0.0016409880558230514,6.690244497301153e-05,0.0,0.0002575429229858238,2.274009049424197e-06,0.0,0.0,0.0,0.0,0.0,3.0536468288193655e-07,0.0,0.0,0.035311316919648304,0.005262420935750548,0.0,0.28444392670101565,0.06478573474109937,3.6700241647372676e-05,0.11339862033664634,0.022219977183315785,7.839845529476622e-07,0.0005250874298662102,9.292356152437523e-06,0.0,0.0,6.173106905438365e-05,6.618728152257362e-08,0.0,0.13692514155430432,0.027801593629897477,2.0842303196185944e-06
0.5742983447827412,0.6365717010255271,0.5856137939131791,0.0003537053313039,0.0061501845055351,0.0065573770491803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1898200226775725e-05,3.2766838739228176e-11,0.0,0.0016549400457246861,6.782463011720975e-05,0.0,0.00026039796477263585,2.3271984155498927e-06,0.0,0.0,0.0,0.0,0.0,3.1036135060219443e-07,0.0,0.0,0.03540942490710682,0.005281078422158556,0.0,0.2850840311782744,0.06495058952714194,3.6967473089879995e-05,0.11366604446007643,0.0222826060739154,7.943296492616645e-07,0.0005275242011096545,9.372966569688224e-06,0.0,0.0,6.171790947537558e-05,6.61450781240907e-08,0.0,0.1369081688079197,0.02779751886839926,2.0829805612698993e-06
0.5742996012012154,0.6365684454654021,0.585442281874833,0.0003537053313039,0.0061501845055351,0.0065573770491803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2115637105499754e-05,3.788665823462827e-11,0.0,0.0016689870108612184,6.87571041440346e-05,0.0,0.0002632787496393595,2.381408072834496e-06,0.0,0.0,0.0,0.0,0.0,3.154198063305345e-07,0.0,0.0,0.03550766365143919,0.005299772033199993,0.0,0.2857248924993712,0.06511566224633056,3.7236087766306755e-05,0.11393383309349742,0.022345340869779615,8.047807725669271e-07,0.0005299691261467002,9.4541158475647e-06,0.0,0.0,6.170420108947696e-05,6.610113054129049e-08,0.0,0.13689082725031024,0.027793355629489536,2.0817041495591917e-06
0.5743008385206124,0.6365652218456964,0.585270769018483,0.0003537053313039,0.0061501845055351,0.0065573770491803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2336286828373624e-05,4.365388626298322e-11,0.0,0.0016831294241661115,6.969995374480453e-05,0.0,0.0002661854690104689,2.4366535407331984e-06,0.0,0.0,0.0,0.0,0.0,3.2054042646268417e-07,0.0,0.0,0.03560603173813851,0.0053185015102758075,0.0,0.2863665088903685,0.06528095238540522,3.7506088828577404e-05,0.11420198853748491,0.02240818212789097,8.153387688182056e-07,0.0005324222690938446,9.53580806908507e-06,0.0,0.0,6.168993482815689e-05,6.605541166178246e-08,0.0,0.13687311301864177,0.027789102990070726,2.0804008327184555e-06
0.5743020577250902,0.6365620274223001,0.585099255589533,0.0004072970481682,0.0061501845055351,0.0065573770491803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.256011835650626e-05,5.124004982532549e-11,0.0,0.0016973633627976404,7.080839558571522e-05,0.0,0.00026911736057210086,2.50224140238198e-06,0.0,0.0,0.0,0.0,0.0,3.2572066535211367e-07,0.0,0.0,0.03570446885973869,0.005343453378357382,1.373286193316717e-21,0.28700846917030326,0.0655020858697886,3.796073244046317e-05,0.11447033090272539,0.022492720430130512,8.333832882109056e-07,0.0005348819172964987,9.646932362099743e-06,0.0,0.0,6.167486316130683e-05,6.645175912769852e-08,0.0,0.1368548263545499,0.027810780552447636,2.0950692879987367e-06
0.5743032567293821,0.6365588675070986,0.5849277414243799,0.0004072970481682,0.0061501845055351,0.0065573770491803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2787300531053243e-05,5.862900632357478e-11,0.0,0.0017116980526214933,7.177404363634619e-05,0.0,0.0002720764704131286,2.5597839261342644e-06,0.0,0.0,0.0,0.0,0.0,3.3096702378623086e-07,0.0,0.0,0.03580309454336637,0.0053622732453570835,2.6211906542262934e-20,0.2876515908920861,0.06566793570029557,3.823463160454317e-05,0.11473921828127466,0.022555827495812877,8.44237813783836e-07,0.0005373515234420604,9.729926497984879e-06,0.0,0.0,6.165948325190792e-05,6.640223357111789e-08,0.0,0.13683636766999943,0.02780634568239505,2.093703566352553e-06
0.5743044367662422,0.6365557386836538,0.5847562263594239,0.0004072970481682,0.0061501845055351,0.0065573770491803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3017804938344271e-05,6.688170061823876e-11,0.0,0.0017261296446483309,7.275034801881337e-05,0.0,0.0002750620485896471,2.6184116716604658e-06,0.0,0.0,0.0,0.0,0.0,3.3627705772058237e-07,0.0,0.0,0.0359018493396896,0.005381128992577509,1.8733026986794138e-19,0.288295465759615,0.06583400242292103,3.850993245459366e-05,0.11500847086273037,0.022619040774016278,8.552020808778835e-07,0.0005398293677912968,9.813471261190686e-06,0.0,0.0,6.164355125485628e-05,6.635095178275371e-08,0.0,0.13681753873619387,0.027801821933965323,2.0923110471400376e-06
0.5743055970247003,0.6365526429458453,0.584584710803667,0.0004072970481682,0.0061501845055351,0.0065573770491803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3251666125409282e-05,7.607641639702288e-11,0.0,0.0017406585715713776,7.373739434010437e-05,0.0,0.00027807428407578764,2.6781407464079404e-06,0.0,0.0,0.0,0.0,0.0,3.4165109907817707e-07,0.0,0.0,0.03600073128277364,0.005400020254460471,8.206990712528059e-19,0.28894008980213376,0.06600028495561845,3.878663716438402e-05,0.11527809062527351,0.022682360746875213,8.66276940775858e-07,0.0005423155176964003,9.897570902034711e-06,0.0,0.0,6.162705637737586e-05,6.629788132684435e-08,0.0,0.13679833498112168,0.027797208213367546,2.090891427882236e-06
0.5743067372638264,0.6365495807691521,0.5844131943481072,0.0004072970481682,0.0061501845055351,0.0065573770491803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3488921189806241e-05,8.629664562713278e-11,0.0,0.001755285348352941,7.473527416426033e-05,0.0,0.00028111337008015076,2.738987499079942e-06,0.0,0.0,0.0,0.0,0.0,3.470896073274611e-07,0.0,0.0,0.036099739951722824,0.005418946959972718,2.6796904772995107e-18,0.2895854632216057,0.06616678329211376,3.906474968073187e-05,0.11554807872149886,0.0227457877030358,8.774632159261431e-07,0.0005448100085166705,9.982228611513333e-06,0.0,0.0,6.160999624278865e-05,6.624301696962222e-08,0.0,0.13677875534742412,0.027792504271358875,2.0894446670376326e-06
