,omega
353,0.0053438917
354,0.0036636116
355,0.0031582352
356,0.0036164727
357,0.0018004209
358,0.009483688
359,0.002920036
360,0.00010746349
361,0.008071221
362,0.0011250353
363,-0.0074021406
364,0.03602425
365,0.0015113518
366,0.005870179
367,0.0014602977
368,0.002620247
369,-0.0038087904
370,0.010900373
371,-0.0047456473
372,-0.0019084952
373,-0.00026714965
374,0.0031699152
375,0.0023285274
376,0.0066466564
377,0.005026985
378,0.0021540215
379,-0.0016352391
380,0.0046267244
381,0.0045090267
382,-0.00085101294
383,0.006866015
384,-0.007975575
385,0.0023386767
386,-0.0061312844
387,0.0010823938
388,-0.005180783
389,0.00089740474
390,-0.021810453
391,0.000732612
392,0.0032935329
393,0.0016743902
394,0.0039615803
395,-0.002837608
396,0.0017054253
397,0.008641437
398,-0.0024320818
399,0.0009274845
400,0.0012448377
401,0.0002964032
402,-0.005836176
403,0.004701019
404,-0.0003106664
405,-0.015074142
406,0.011151548
407,-0.0015695589
408,-0.0013797499
409,0.0009436808
410,-0.011071571
411,0.0043628993
412,-0.001585287
413,-0.0029446338
414,-0.001917711
415,0.0062678824
416,0.0050126277
417,0.0068596127
418,0.0041709025
419,-0.00045777473
420,-0.004619547
421,-0.0001472939
422,-0.074559934
423,-0.0023221434
424,0.0032435318
425,0.0023118407
426,-0.004355835
427,-0.005913037
428,0.004804196
429,-0.0051772785
430,0.004709971
431,0.0002068546
432,0.0018359902
433,0.004169822
434,0.0046513127
435,-0.06698213
436,-0.0015623092
437,-0.005362666
438,0.0033125074
439,0.019871578
440,0.006006613
441,-0.0032632635
442,0.03270623
443,0.0051385174
444,0.006337361
445,0.003469671
446,-0.002151079
447,-0.005948428
448,-0.022680422
449,-0.010839457
450,-0.0067559183
451,0.0051462715
452,0.0031956232
453,0.00489433
454,-0.016933745
455,-0.0016431777
456,-0.0014732606
457,0.0019596952
458,-0.0028849635
459,0.010979271
460,-0.008334512
461,-0.008112796
462,-0.0016824704
463,-0.0019243485
464,-0.0016263407
465,0.0014663353
466,0.0011866778
467,0.008319396
468,0.007766482
469,-0.0040379707
470,-0.0029652165
471,-0.0036054298
472,0.006616586
473,0.019944295
474,0.0040011527
475,-0.0034597593
476,0.012295374
477,0.0051509268
478,0.005271761
479,-0.008082924
480,0.002543095
481,0.0019896969
482,0.004150005
483,-0.001068999
484,-0.00016249917
485,0.004399915
486,0.022302657
487,0.0076186256
