,omega
359,-0.048320398
360,-0.068704575
361,0.048550017
362,0.04892402
363,-0.02116294
364,0.030213764
365,-0.03656678
366,-0.05439492
367,-0.015569252
368,-0.008070601
369,0.037219197
370,-0.023780921
371,-0.050110724
372,-0.05084629
373,-0.059160434
374,-0.009430505
375,-0.035987996
376,-0.061875813
377,-0.09063231
378,-0.009979483
379,0.007372807
380,-0.02027204
381,-0.0641438
382,-0.00039843956
383,-0.022960015
384,-0.037391484
385,0.007983516
386,-0.061703444
387,-0.046058234
388,-0.06161579
389,-0.02879604
390,0.018436585
391,-0.01811829
392,-0.024717465
393,-0.0556444
394,0.01561733
395,-0.006423313
396,-0.019043906
397,-0.02607824
398,-0.040762205
399,0.00503187
400,0.0106679415
401,-0.027662773
402,-0.036798015
403,-0.06478698
404,-0.018625097
405,-0.16066423
406,0.0037291402
407,-0.011676544
408,-0.049596507
409,-0.05463688
410,-0.1228784
411,0.032153253
412,-0.0139564825
413,0.029125886
414,-0.037996937
415,-0.025113922
416,-0.011626994
417,-0.01535518
418,-0.033819713
419,0.0063672103
420,-0.05536694
421,-0.06585843
422,-0.04995504
423,0.23317695
424,-0.03224063
425,0.49830842
426,-0.024833877
427,-0.05545616
428,-0.02448393
429,-0.06874227
430,-0.030579455
431,-0.025776299
432,0.051874682
433,0.04952446
434,-0.027350497
435,-0.012759473
436,-0.03337148
437,-0.00308165
438,-0.012922771
439,0.122094736
440,0.31449926
441,-0.037650067
442,0.17362423
443,-0.041490633
444,-0.0028621291
445,-0.06366916
446,-0.062122963
447,-0.07103148
448,0.15862322
449,-0.032163147
450,-0.054385614
451,0.29869694
452,-0.02243635
453,0.01892896
454,-0.10385486
455,-0.047841642
456,-0.02817369
457,-0.044175334
458,-0.041654486
459,0.035774667
460,-0.03959727
461,-0.02358535
462,-0.04734082
463,0.03886302
464,-0.030554945
465,-0.05216112
466,-0.03168937
467,-0.015208951
468,-0.023830857
469,0.44749117
470,-0.00091864285
471,-0.06754129
472,-0.034984563
473,0.15528849
474,0.004796783
475,-0.0011985265
476,-0.0017032942
477,-0.04556693
478,-0.023465542
479,-0.037338346
480,-0.013756924
481,-0.024212815
482,-0.08408485
483,-0.042603225
484,-0.019549537
485,-0.038289633
486,0.09919972
487,-0.025454432
488,0.015032919
489,-0.030163797
490,0.00819273
491,0.02012401
492,0.38816494
493,0.005981232
494,0.009680187
495,-0.008035511
496,-0.030940657
497,-0.10888012
498,-0.023131503
499,-0.03388904
500,0.0071302997
501,0.17257927
502,-0.031751305
503,-0.005379441
504,0.013293032
505,-0.13257259
506,-0.024501972
507,-0.052707475
508,-0.031192046
509,-0.023605539
510,-0.055667855
511,-0.041427836
512,0.016292134
513,-0.05068444
514,-0.079727694
515,-0.015691482
516,-0.053725414
517,-0.08681121
518,0.094670296
519,-0.018761486
520,0.0036382265
521,0.0005780136
522,-0.047144342
523,-0.0429026
