,omega
359,-0.056606203
360,-0.058955982
361,0.0052624866
362,0.014446521
363,-0.03425886
364,-0.011538977
365,-0.04736467
366,-0.06394409
367,-0.022798808
368,-0.025612012
369,0.009893639
370,-0.055648692
371,-0.06509882
372,-0.03342389
373,-0.0696778
374,-0.017365098
375,-0.046651527
376,-0.07644873
377,-0.11741643
378,-0.017651934
379,-0.007717328
380,-0.035054278
381,-0.08808281
382,-0.009576102
383,-0.024280086
384,-0.057221092
385,0.0020442733
386,-0.06439917
387,-0.046482082
388,-0.066914834
389,-0.032851435
390,0.005503971
391,-0.031453453
392,-0.032114804
393,-0.031691156
394,0.016890647
395,-0.024549099
396,-0.02326911
397,-0.028885318
398,-0.040259477
399,0.007824583
400,-0.0065159053
401,-0.05100676
402,-0.045429736
403,-0.07178867
404,-0.008172754
405,-0.13026391
406,-0.0049098614
407,-0.027164076
408,-0.043244526
409,-0.05922436
410,-0.13295436
411,0.01724072
412,-0.034789223
413,-0.008284735
414,-0.04591909
415,-0.036098424
416,-0.010318699
417,-0.015417488
418,-0.051753055
419,-0.0057533127
420,-0.06431893
421,-0.08742877
422,-0.025292566
423,0.21792506
424,-0.0340524
425,0.31582838
426,-0.065740466
427,-0.07822608
428,-0.035232134
429,-0.08816255
430,-0.02598821
431,-0.038364545
432,0.007202128
433,0.008046413
434,-0.040466104
435,-0.025002997
436,-0.021640044
437,-0.014754807
438,-0.01582327
439,0.047037322
440,0.27702153
441,-0.05518511
442,0.13785037
443,-0.044198748
444,-0.009662027
445,-0.064635046
446,-0.061729707
447,-0.087632425
448,0.059500687
449,-0.05127766
450,-0.07408847
451,0.31877083
452,-0.039693914
453,-0.008757044
454,-0.10500913
455,-0.052813187
456,-0.023941018
457,-0.031617012
458,-0.05518419
459,0.010378303
460,-0.031435244
461,-0.013730995
462,-0.05501112
463,-0.0053466773
464,-0.038676854
465,-0.039546084
466,-0.055236932
467,-0.039665412
468,-0.027005166
469,0.3384151
470,-0.0059519145
471,-0.059122156
472,-0.054821447
473,0.13226148
474,-0.023253549
475,-0.008711291
476,-0.00021716952
477,-0.05763979
478,-0.027413998
479,-0.041621976
480,-0.009954624
481,-0.057010792
482,-0.068468854
483,-0.05178648
484,0.005298071
485,-0.03455505
486,0.10293865
487,-0.020720504
488,0.009069064
489,-0.041399147
490,0.0069500515
491,0.0073784036
492,0.27332914
493,-0.005094506
494,-0.007262947
495,-0.012188461
496,-0.03327776
497,-0.07912693
498,-0.015660753
499,-0.024089728
500,-0.012788419
501,0.14677843
502,-0.042909697
503,-0.026228596
504,-0.018167889
505,-0.1282335
506,-0.036916945
507,-0.079981424
508,-0.020585468
509,-0.023755467
510,-0.0635822
511,-0.043392286
512,0.0036945152
513,-0.05154585
514,-0.09222454
515,-0.019053478
516,-0.051326137
517,-0.07105702
518,0.123374075
519,-0.048953205
520,-0.0073113684
521,0.0012704586
522,-0.041009307
523,-0.04631803
