,omega
367,-0.013570305
368,-0.01666788
369,0.0004837116
370,0.01596903
371,0.009422288
372,0.0048099896
373,0.017124608
374,-0.01591979
375,0.007889336
376,0.015302156
377,0.03037043
378,-0.024353536
379,0.0048033684
380,-0.0062241973
381,0.0059680613
382,0.0011907775
383,-0.014186101
384,0.013672058
385,-0.023070654
386,0.0045905774
387,0.02156711
388,0.01811274
389,-0.013524563
390,0.0035659038
391,0.009402713
392,-0.014391089
393,-0.0055200597
394,-0.02286551
395,-0.024752282
396,-0.016763017
397,0.015441619
398,0.007211549
399,-0.022864895
400,-0.022095527
401,-0.012350744
402,0.0039609633
403,0.014411768
404,-0.009600683
405,0.0021400189
406,0.00088620256
407,-0.0054095276
408,-0.0176668
409,0.018928964
410,0.015284732
411,-0.0149672255
412,0.011851744
413,0.014504135
414,0.007390041
415,0.012992543
416,-0.016676584
417,-0.009578645
418,-0.007050085
419,0.021464176
420,0.011568339
421,0.012413433
422,-0.014770854
423,-0.0015452313
424,-0.008377755
425,-0.018968958
426,0.0006911112
427,-0.013400265
428,-0.013760617
429,0.009314163
430,0.0061480803
431,-0.013984211
432,0.012858897
433,0.018225757
434,0.005735684
435,-0.031314295
436,-0.014551232
437,-0.019538164
438,-0.012180641
439,0.01919829
440,0.0107347155
441,0.0027989927
442,0.010154503
443,-0.0077539943
444,0.012463117
445,0.0041765627
446,0.007533944
447,-0.0034475937
448,0.003958556
449,0.012675458
450,-0.00047868327
451,0.0029223484
452,-0.013807225
453,-0.023562733
454,0.011405795
455,0.0064508356
456,-0.006773837
457,-0.012656903
458,-0.01454304
459,0.0024612877
460,0.009413205
461,0.009224338
462,-0.017915595
463,0.0021248888
464,0.012579599
465,0.014050538
466,-0.0014095358
467,0.006871655
468,-0.007930382
469,0.0010488022
470,0.014276449
471,-0.0070344973
472,-0.010980325
473,-0.004229013
474,-0.014924676
475,0.0021778985
476,-0.014013403
477,-0.017194297
478,-0.018354498
479,0.0038274138
480,-0.01760596
481,-0.0033890328
482,0.008833535
483,0.0032251778
484,0.011568438
485,0.012800032
486,-0.023665048
487,-0.019002983
488,0.0027274922
489,-0.009099025
490,-0.011233463
491,0.0056376792
492,0.015011781
493,-0.012227119
494,-0.020847496
495,0.00346954
496,0.010986682
497,-0.010859372
498,-0.008452018
499,-0.010797359
500,-0.005795098
501,-0.0051939944
502,0.008087188
503,-0.0142855905
504,0.009850302
505,0.016351786
506,-0.0011386333
507,0.024271572
508,-0.013095816
509,0.014309934
510,0.016825516
511,0.0020087361
512,-0.0050621596
513,-0.0068615354
514,0.0053070066
515,-0.016022868
516,0.006320936
517,0.010334639
518,0.01818503
519,0.021470759
520,-0.02511918
521,-0.020403054
522,0.0100219585
523,0.0045647286
